,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-03-09 14:59:53,0.0003412972737471273,0.0003412972737471273,0.0003412972737471273,0.00033229851616218344,0.000345292549892964,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,-2.815257457127441e-06,0.00033848201628999987
1,2018-03-09 15:59:48,0.0003427306275160654,0.0003427306275160654,0.0003427306275160654,0.0003315579247103409,0.00034529509518846125,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,-4.501522751855823e-06,0.00033822910476420957
2,2018-03-09 16:59:28,0.0003441580006712249,0.0003441580006712249,0.0003441580006712249,0.0003329437730203908,0.0003462996112655294,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,-4.664464868664492e-06,0.0003394935358025604
3,2018-03-09 17:59:44,0.0003455997272994531,0.0003455997272994531,0.0003455997272994531,0.00033569369990107414,0.00034924279488217396,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,-3.130238774604175e-06,0.00034246948852484897
4,2018-03-09 18:59:50,0.00034703746685182886,0.0003470374668518289,0.0003470374668518289,0.00033977975390170784,0.00035190695986154656,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,-1.12968654644992e-06,0.00034590778030537897
5,2018-03-09 19:58:24,0.0003484385253063625,0.0003484385253063625,0.0003484385253063625,0.00034157321288639836,0.00035451928426050015,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,-2.0413255193824112e-07,0.00034823439275442425
6,2018-03-09 20:59:34,0.00034990178214419366,0.00034990178214419366,0.00034990178214419366,0.00034269890917597046,0.0003559901719551428,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,-7.941676113563561e-07,0.0003491076145328373
7,2018-03-09 21:59:29,0.0003513351359264835,0.0003513351359264835,0.0003513351359264835,0.00034335015285037507,0.0003561316948444215,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,-1.9280754520720813e-06,0.0003494070604744114
8,2018-03-09 22:59:48,0.00035277805869090813,0.00035277805869090813,0.00035277805869090813,0.0003437602817188064,0.00035674212531111284,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,-2.1403599195956423e-06,0.0003506376987713125
9,2018-03-09 23:59:49,0.0003542138047187316,0.0003542138047187316,0.0003542138047187316,0.00034705011510463823,0.00035998417527217214,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,-8.590240394395685e-07,0.00035335478067929205
10,2018-03-10 00:59:35,0.00035564357013272087,0.00035564357013272087,0.00035564357013272087,0.00035045832068460636,0.0003636857747493497,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,1.0995378009361376e-06,0.000356743107933657
11,2018-03-10 01:59:31,0.0003570773226225996,0.0003570773226225996,0.0003570773226225996,0.00035278128772082127,0.0003656668099875611,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,2.427331209906531e-06,0.00035950465383250617
12,2018-03-10 02:59:51,0.00035852064409461323,0.00035852064409461323,0.00035852064409461323,0.0003547704733365634,0.00036781492691109687,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,2.538236020751305e-06,0.0003610588801153645
13,2018-03-10 03:59:52,0.0003599563901224367,0.0003599563901224367,0.0003599563901224367,0.0003552427713104559,0.00036820085826381164,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,2.0535612471057134e-06,0.00036200995136954244
14,2018-03-10 04:57:15,0.00036132914032512654,0.00036132914032512654,0.00036132914032512654,0.00035663320175387454,0.00036991407115957286,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,2.0169927141440993e-06,0.00036334613303927064
15,2018-03-10 05:59:47,0.00036282509117046267,0.00036282509117046267,0.00036282509117046267,0.0003588312385013817,0.0003722815422814175,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,2.8165447541359204e-06,0.0003656416359245986
16,2018-03-10 06:59:56,0.0003642640268316615,0.0003642640268316615,0.0003642640268316615,0.0003613232291943069,0.0003742326734503107,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,3.6687773875862922e-06,0.0003679328042192478
17,2018-03-10 07:59:41,0.00036569339351090723,0.00036569339351090723,0.00036569339351090723,0.00036289190642285404,0.0003761577764374134,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,3.568546969469313e-06,0.00036926194048037653
18,2018-03-10 08:59:28,0.00036712355760531567,0.00036712355760531567,0.00036712355760531567,0.0003628840953175382,0.0003752750034348519,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,2.3109738551053054e-06,0.000369434531460421
19,2018-03-10 09:59:55,0.0003685696700029794,0.0003685696700029794,0.0003685696700029794,0.0003627253300903961,0.0003753321523160166,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,7.181370828921414e-07,0.00036928780708587154
20,2018-03-10 10:57:05,0.0003685110104139189,0.0003685110104139189,0.0003685110104139189,0.00036210589165317457,0.00037498716736816503,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,-1.0759732285066998e-07,0.0003684034130910682
21,2018-03-10 11:59:55,0.00036844653617171535,0.00036844653617171535,0.00036844653617171535,0.00036186303212168024,0.00037459640767787566,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,-5.837359582191656e-08,0.00036838816257589343
22,2018-03-10 12:59:18,0.00036838560202716075,0.00036838560202716075,0.00036838560202716075,0.0003614628234758306,0.00037418906478683224,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,1.8843488441103222e-08,0.00036840444551560186
23,2018-03-10 13:59:48,0.0003683235220538984,0.0003683235220538984,0.0003683235220538984,0.00036086348187188425,0.00037383635633870497,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,-9.07552620695469e-07,0.00036741596943320293
24,2018-03-10 14:59:45,0.0003682620064440295,0.0003682620064440295,0.0003682620064440295,0.00035837894436898917,0.00037195189378459915,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,-2.8106898431613587e-06,0.00036545131660086817
25,2018-03-10 15:59:52,0.00036820031981495046,0.00036820031981495046,0.00036820031981495046,0.00035718146942176083,0.0003699570176065514,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,-4.502720425834031e-06,0.0003636975993891164
26,2018-03-10 16:59:52,0.00036813875289931847,0.00036813875289931847,0.00036813875289931847,0.00035697161523819154,0.00037049298638657435,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,-4.65920523043646e-06,0.000363479547668882
27,2018-03-10 17:58:40,0.00036800035215773163,0.00036800035215773163,0.00036800035215773163,0.0003585093856119897,0.0003715211622163329,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,-3.1665252360074083e-06,0.00036483382692172425
28,2018-03-10 18:57:09,0.0003678626967716125,0.0003678626967716125,0.0003678626967716125,0.00036005999920045846,0.00037301815054146024,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,-1.2053278957363952e-06,0.00036665736887587613
29,2018-03-10 19:58:03,0.0003677193531463976,0.0003677193531463976,0.0003677193531463976,0.0003609898992451038,0.00037408467787206355,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,-2.050240139005909e-07,0.000367514329132497
30,2018-03-10 20:59:39,0.0003675743618933066,0.0003675743618933066,0.0003675743618933066,0.000360424220411547,0.00037351732423567685,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,-7.957202456211271e-07,0.0003667786416476855
31,2018-03-10 21:59:58,0.0003674323912913217,0.0003674323912913217,0.0003674323912913217,0.0003589562799698499,0.0003724760146955529,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,-1.9351592079191956e-06,0.0003654972320834025
32,2018-03-10 22:59:54,0.0003672913229617451,0.0003672913229617451,0.0003672913229617451,0.0003586782948994358,0.00037187770133581495,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,-2.1394154649353543e-06,0.0003651519074968097
33,2018-03-10 23:59:32,0.00036715096077779246,0.00036715096077779246,0.00036715096077779246,0.00035993098712623785,0.00037225835618185163,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,-8.677331997012996e-07,0.00036628322757809115
34,2018-03-11 00:59:58,0.00036700871559081305,0.00036700871559081305,0.00036700871559081305,0.0003612238517390575,0.0003746773633651523,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,1.111293861298316e-06,0.0003681200094521114
35,2018-03-11 01:59:58,0.00036686749036380647,0.00036686749036380647,0.00036686749036380647,0.0003624187197900697,0.0003755265987756796,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,2.432626269716554e-06,0.000369300116633523
