,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yhat
0,2018-02-14 13:57:29,0.0003224697400135848,0.0003224697400135848,0.0003224697400135848,0.0002910616647077902,0.00032250456710474293,-1.203709547949383e-06,-1.203709547949383e-06,-1.203709547949383e-06,-1.5289920356217892e-06,-1.5289920356217892e-06,-1.5289920356217892e-06,-1.529042685025726e-05,-1.529042685025726e-05,-1.529042685025726e-05,-1.529042685025726e-05,-1.529042685025726e-05,-1.529042685025726e-05,-1.2557725266686084e-05,-1.2557725266686084e-05,-1.2557725266686084e-05,0.0003071793131633275
1,2018-02-14 14:59:38,0.00032234460749252435,0.00032234460749252435,0.00032234460749252435,0.00029237468183026415,0.00032341133976039263,-2.5910326182813892e-06,-2.5910326182813892e-06,-2.5910326182813892e-06,1.0094923181183175e-06,1.0094923181183175e-06,1.0094923181183175e-06,-1.485881145502908e-05,-1.485881145502908e-05,-1.485881145502908e-05,-1.485881145502908e-05,-1.485881145502908e-05,-1.485881145502908e-05,-1.3277271154866008e-05,-1.3277271154866008e-05,-1.3277271154866008e-05,0.0003074857960374953
2,2018-02-14 15:59:59,0.0003222230990830955,0.0003222230990830955,0.0003222230990830955,0.00028918415123697,0.0003199407074289729,-2.491588016900818e-07,-2.491588016900818e-07,-2.491588016900818e-07,-2.5937741745130214e-06,-2.5937741745130214e-06,-2.5937741745130214e-06,-1.6784839490393945e-05,-1.6784839490393945e-05,-1.6784839490393945e-05,-1.6784839490393945e-05,-1.6784839490393945e-05,-1.6784839490393945e-05,-1.3941906514190843e-05,-1.3941906514190843e-05,-1.3941906514190843e-05,0.00030543825959270155
3,2018-02-14 16:59:53,0.00032210249670157473,0.00032210249670157473,0.00032210249670157473,0.0002894630041430276,0.0003200801978591709,4.250164788951533e-06,4.250164788951533e-06,4.250164788951533e-06,-6.440870183826623e-06,-6.440870183826623e-06,-6.440870183826623e-06,-1.6758044019540442e-05,-1.6758044019540442e-05,-1.6758044019540442e-05,-1.6758044019540442e-05,-1.6758044019540442e-05,-1.6758044019540442e-05,-1.4567338624665351e-05,-1.4567338624665351e-05,-1.4567338624665351e-05,0.0003053444526820343
4,2018-02-14 17:59:59,0.00032198149164098367,0.00032198149164098367,0.00032198149164098367,0.0002917412742070665,0.0003211506601992877,7.100765399163244e-06,7.100765399163244e-06,7.100765399163244e-06,-7.821469103507605e-06,-7.821469103507605e-06,-7.821469103507605e-06,-1.588052061936227e-05,-1.588052061936227e-05,-1.588052061936227e-05,-1.588052061936227e-05,-1.588052061936227e-05,-1.588052061936227e-05,-1.5159816915017908e-05,-1.5159816915017908e-05,-1.5159816915017908e-05,0.0003061009710216214
5,2018-02-14 18:59:45,0.00032186115771217627,0.00032186115771217627,0.00032186115771217627,0.0002913766582059251,0.0003201786076375334,6.436265070913148e-06,6.436265070913148e-06,6.436265070913148e-06,-6.297816273750723e-06,-6.297816273750723e-06,-6.297816273750723e-06,-1.5575283711872296e-05,-1.5575283711872296e-05,-1.5575283711872296e-05,-1.5575283711872296e-05,-1.5575283711872296e-05,-1.5575283711872296e-05,-1.571373250903472e-05,-1.571373250903472e-05,-1.571373250903472e-05,0.000306285874000304
6,2018-02-14 19:59:36,0.000321740656000423,0.000321740656000423,0.000321740656000423,0.0002904733480565678,0.0003212418384726445,4.054588518393021e-06,4.054588518393021e-06,4.054588518393021e-06,-4.159099072977751e-06,-4.159099072977751e-06,-4.159099072977751e-06,-1.633747714082392e-05,-1.633747714082392e-05,-1.633747714082392e-05,-1.633747714082392e-05,-1.633747714082392e-05,-1.633747714082392e-05,-1.6232966586239193e-05,-1.6232966586239193e-05,-1.6232966586239193e-05,0.00030540317885959905
7,2018-02-14 20:59:37,0.0003216198187227778,0.0003216198187227778,0.0003216198187227778,0.00028873400026621936,0.00032032280209648184,3.0463977125001144e-06,3.0463977125001144e-06,3.0463977125001144e-06,-3.896033573587673e-06,-3.896033573587673e-06,-3.896033573587673e-06,-1.756770595345074e-05,-1.756770595345074e-05,-1.756770595345074e-05,-1.756770595345074e-05,-1.756770595345074e-05,-1.756770595345074e-05,-1.6718070092363176e-05,-1.6718070092363176e-05,-1.6718070092363176e-05,0.0003040521127693271
8,2018-02-14 21:59:28,0.0003214993170110245,0.0003214993170110245,0.0003214993170110245,0.0002883874871154362,0.00031877971950378104,4.59808565168467e-06,4.59808565168467e-06,4.59808565168467e-06,-6.12849760701709e-06,-6.12849760701709e-06,-6.12849760701709e-06,-1.8697046303415723e-05,-1.8697046303415723e-05,-1.8697046303415723e-05,-1.8697046303415723e-05,-1.8697046303415723e-05,-1.8697046303415723e-05,-1.7166634348083303e-05,-1.7166634348083303e-05,-1.7166634348083303e-05,0.0003028022707076088
9,2018-02-14 22:59:49,0.00032137780860159575,0.00032137780860159575,0.00032137780860159575,0.0002859895511085885,0.0003158688073431593,7.142212029484039e-06,7.142212029484039e-06,7.142212029484039e-06,-9.553868188575271e-06,-9.553868188575271e-06,-9.553868188575271e-06,-1.9995526203714713e-05,-1.9995526203714713e-05,-1.9995526203714713e-05,-1.9995526203714713e-05,-1.9995526203714713e-05,-1.9995526203714713e-05,-1.7583870044623482e-05,-1.7583870044623482e-05,-1.7583870044623482e-05,0.00030138228239788106
