,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
10,2018-03-05 03:08:04,2.595662048831659e-05,2.595662048831659e-05,2.595662048831659e-05,2.5618963252600653e-05,2.662509445550329e-05,5.5168748454462056e-08,5.5168748454462056e-08,5.5168748454462056e-08,7.388275586869217e-08,7.388275586869217e-08,7.388275586869217e-08,1.2905150432315425e-07,1.2905150432315425e-07,1.2905150432315425e-07,1.2905150432315425e-07,1.2905150432315425e-07,1.2905150432315425e-07,2.6085671992639745e-05
11,2018-03-05 04:53:35,2.5961055468908103e-05,2.5961055468908103e-05,2.5961055468908103e-05,2.549982025752078e-05,2.6451178824384985e-05,1.038567242606631e-08,1.038567242606631e-08,1.038567242606631e-08,-4.958421666672535e-09,-4.958421666672535e-09,-4.958421666672535e-09,5.427250759393776e-09,5.427250759393776e-09,5.427250759393776e-09,5.427250759393776e-09,5.427250759393776e-09,5.427250759393776e-09,2.5966482719667497e-05
12,2018-03-05 05:50:09,2.5963433027607775e-05,2.5963433027607775e-05,2.5963433027607775e-05,2.5457516165791157e-05,2.6401294638628196e-05,-1.291674204221366e-08,-1.291674204221366e-08,-1.291674204221366e-08,-1.5233315221673878e-09,-1.5233315221673878e-09,-1.5233315221673878e-09,-1.4440073564381048e-08,-1.4440073564381048e-08,-1.4440073564381048e-08,-1.4440073564381048e-08,-1.4440073564381048e-08,-1.4440073564381048e-08,2.5948992954043393e-05
13,2018-03-05 06:55:55,2.5966197272342272e-05,2.5966197272342272e-05,2.5966197272342272e-05,2.5510618758249873e-05,2.6516051899251252e-05,2.8360027684551695e-08,2.8360027684551695e-08,2.8360027684551695e-08,1.7487688764099972e-08,1.7487688764099972e-08,1.7487688764099972e-08,4.584771644865167e-08,4.584771644865167e-08,4.584771644865167e-08,4.584771644865167e-08,4.584771644865167e-08,4.584771644865167e-08,2.6012044988790922e-05
14,2018-03-05 07:53:14,2.5968604148486585e-05,2.5968604148486585e-05,2.5968604148486585e-05,2.5515986001721787e-05,2.6483147148693706e-05,3.59038317203887e-08,3.59038317203887e-08,3.59038317203887e-08,1.1808089781240413e-08,1.1808089781240413e-08,1.1808089781240413e-08,4.771192150162912e-08,4.771192150162912e-08,4.771192150162912e-08,4.771192150162912e-08,4.771192150162912e-08,4.771192150162912e-08,2.6016316069988216e-05
15,2018-03-05 08:57:34,2.5971305672742776e-05,2.5971305672742776e-05,2.5971305672742776e-05,2.5579593642131502e-05,2.6548811660389104e-05,-3.765158300897301e-08,-3.765158300897301e-08,-3.765158300897301e-08,1.0556000543826446e-07,1.0556000543826446e-07,1.0556000543826446e-07,6.790842242929146e-08,6.790842242929146e-08,6.790842242929146e-08,6.790842242929146e-08,6.790842242929146e-08,6.790842242929146e-08,2.6039214095172068e-05
16,2018-03-05 09:51:37,2.597357537304403e-05,2.597357537304403e-05,2.597357537304403e-05,2.5466520087363228e-05,2.6493810114081302e-05,-9.978608577549365e-08,-9.978608577549365e-08,-9.978608577549365e-08,8.094649989773142e-08,8.094649989773142e-08,8.094649989773142e-08,-1.883958587776223e-08,-1.883958587776223e-08,-1.883958587776223e-08,-1.883958587776223e-08,-1.883958587776223e-08,-1.883958587776223e-08,2.5954735787166268e-05
17,2018-03-05 10:49:19,2.5975998346353596e-05,2.5975998346353596e-05,2.5975998346353596e-05,2.543726780200903e-05,2.6426614574655073e-05,-9.17039180252548e-08,-9.17039180252548e-08,-9.17039180252548e-08,8.287226822451672e-08,8.287226822451672e-08,8.287226822451672e-08,-8.831649800738067e-09,-8.831649800738067e-09,-8.831649800738067e-09,-8.831649800738067e-09,-8.831649800738067e-09,-8.831649800738067e-09,2.596716669655286e-05
18,2018-03-05 11:26:50,2.5977573768918542e-05,2.5977573768918542e-05,2.5977573768918542e-05,2.5325926558894187e-05,2.630941812763306e-05,-5.1945654689376574e-08,-5.1945654689376574e-08,-5.1945654689376574e-08,-1.2037834030855283e-07,-1.2037834030855283e-07,-1.2037834030855283e-07,-1.7232399499792939e-07,-1.7232399499792939e-07,-1.7232399499792939e-07,-1.7232399499792939e-07,-1.7232399499792939e-07,-1.7232399499792939e-07,2.5805249773920613e-05
19,2018-03-05 13:40:45,2.5983197278607274e-05,2.5983197278607274e-05,2.5983197278607274e-05,2.5529107573113322e-05,2.6559222131577934e-05,1.2927546942602547e-09,1.2927546942602547e-09,1.2927546942602547e-09,5.3738179585422066e-08,5.3738179585422066e-08,5.3738179585422066e-08,5.503093427968231e-08,5.503093427968231e-08,5.503093427968231e-08,5.503093427968231e-08,5.503093427968231e-08,5.503093427968231e-08,2.6038228212886956e-05
