,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-03-09 14:59:53,0.00034062045352419956,0.00034062045352419956,0.00034062045352419956,0.0003307719962959021,0.00034348120868098127,-2.419171377656055e-06,-2.419171377656055e-06,-2.419171377656055e-06,-8.688432262403186e-07,-8.688432262403186e-07,-8.688432262403186e-07,-3.288014603896373e-06,-3.288014603896373e-06,-3.288014603896373e-06,-3.288014603896373e-06,-3.288014603896373e-06,-3.288014603896373e-06,0.0003373324389203032
1,2018-03-09 15:59:48,0.00034209987562263945,0.00034209987562263945,0.00034209987562263945,0.0003313874540288369,0.00034398587232584583,8.008164661827246e-08,8.008164661827246e-08,8.008164661827246e-08,-4.663008624851921e-06,-4.663008624851921e-06,-4.663008624851921e-06,-4.582926978233651e-06,-4.582926978233651e-06,-4.582926978233651e-06,-4.582926978233651e-06,-4.582926978233651e-06,-4.582926978233651e-06,0.0003375169486444058
2,2018-03-09 16:59:28,0.0003435731248889579,0.0003435731248889579,0.0003435731248889579,0.0003329944926511493,0.0003456284220090687,2.947792384185357e-06,2.947792384185357e-06,2.947792384185357e-06,-6.938316261782154e-06,-6.938316261782154e-06,-6.938316261782154e-06,-3.990523877596796e-06,-3.990523877596796e-06,-3.990523877596796e-06,-3.990523877596796e-06,-3.990523877596796e-06,-3.990523877596796e-06,0.0003395826010113611
3,2018-03-09 17:59:44,0.0003450611889523678,0.0003450611889523678,0.0003450611889523678,0.00033669415994835747,0.0003489533814499625,3.665134893254253e-06,3.665134893254253e-06,3.665134893254253e-06,-6.06829164705598e-06,-6.06829164705598e-06,-6.06829164705598e-06,-2.403156753801728e-06,-2.403156753801728e-06,-2.403156753801728e-06,-2.403156753801728e-06,-2.403156753801728e-06,-2.403156753801728e-06,0.0003426580321985661
4,2018-03-09 18:59:50,0.00034654513779436345,0.00034654513779436345,0.00034654513779436345,0.0003401395008307711,0.00035283593254797327,2.0270243407478547e-06,2.0270243407478547e-06,2.0270243407478547e-06,-2.1272843574248877e-06,-2.1272843574248877e-06,-2.1272843574248877e-06,-1.002600166770333e-07,-1.002600166770333e-07,-1.002600166770333e-07,-1.002600166770333e-07,-1.002600166770333e-07,-1.002600166770333e-07,0.0003464448777776864
5,2018-03-09 19:58:24,0.00034799122659934754,0.00034799122659934754,0.00034799122659934754,0.0003403478399818743,0.00035257900606929014,-1.2750040866530604e-06,-1.2750040866530604e-06,-1.2750040866530604e-06,-2.1505026415746752e-07,-2.1505026415746752e-07,-2.1505026415746752e-07,-1.490054350810527e-06,-1.490054350810527e-06,-1.490054350810527e-06,-1.490054350810527e-06,-1.490054350810527e-06,-1.490054350810527e-06,0.00034650117224853703
6,2018-03-09 20:59:34,0.0003495015128583947,0.0003495015128583947,0.0003495015128583947,0.0003439919782813008,0.00035624790584355654,-5.86230973633747e-06,-5.86230973633747e-06,-5.86230973633747e-06,6.36958674894549e-06,6.36958674894549e-06,6.36958674894549e-06,5.072770126080206e-07,5.072770126080206e-07,5.072770126080206e-07,5.072770126080206e-07,5.072770126080206e-07,5.072770126080206e-07,0.0003500087898710027
7,2018-03-09 21:59:29,0.00035098093498632695,0.00035098093498632695,0.00035098093498632695,0.00034324239410222184,0.0003562140270523233,-9.855839017549882e-06,-9.855839017549882e-06,-9.855839017549882e-06,8.611178002559327e-06,8.611178002559327e-06,8.611178002559327e-06,-1.244661014990555e-06,-1.244661014990555e-06,-1.244661014990555e-06,-1.244661014990555e-06,-1.244661014990555e-06,-1.244661014990555e-06,0.0003497362739713364
8,2018-03-09 22:59:48,0.0003524702336458505,0.0003524702336458505,0.0003524702336458505,0.0003437388913726301,0.00035654736886579563,-1.1220760807454608e-05,-1.1220760807454608e-05,-1.1220760807454608e-05,8.672391512193964e-06,8.672391512193964e-06,8.672391512193964e-06,-2.5483692952606453e-06,-2.5483692952606453e-06,-2.5483692952606453e-06,-2.5483692952606453e-06,-2.5483692952606453e-06,-2.5483692952606453e-06,0.00034992186435058985
9,2018-03-09 23:59:49,0.00035395212490668064,0.00035395212490668064,0.00035395212490668064,0.00034625897143654216,0.0003588681098739432,-9.723432640698352e-06,-9.723432640698352e-06,-9.723432640698352e-06,8.250626076058552e-06,8.250626076058552e-06,8.250626076058552e-06,-1.472806564639801e-06,-1.472806564639801e-06,-1.472806564639801e-06,-1.472806564639801e-06,-1.472806564639801e-06,-1.472806564639801e-06,0.0003524793183420408
