,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yhat
0,2018-02-14 13:57:29,0.0003230937926058076,0.0003230937926058076,0.0003230937926058076,0.0002930226201056396,0.00032443609699751494,-1.5154964781448751e-06,-1.5154964781448751e-06,-1.5154964781448751e-06,-1.3926511007082893e-06,-1.3926511007082893e-06,-1.3926511007082893e-06,-1.483910336303345e-05,-1.483910336303345e-05,-1.483910336303345e-05,-1.483910336303345e-05,-1.483910336303345e-05,-1.483910336303345e-05,-1.1930955784180287e-05,-1.1930955784180287e-05,-1.1930955784180287e-05,0.0003082546892427741
1,2018-02-14 14:59:38,0.0003229335243659028,0.0003229335243659028,0.0003229335243659028,0.00029258346795523523,0.00032457007044715954,-3.0320596501668237e-06,-3.0320596501668237e-06,-3.0320596501668237e-06,1.4503594481567758e-06,1.4503594481567758e-06,1.4503594481567758e-06,-1.4234281493248364e-05,-1.4234281493248364e-05,-1.4234281493248364e-05,-1.4234281493248364e-05,-1.4234281493248364e-05,-1.4234281493248364e-05,-1.2652581291238316e-05,-1.2652581291238316e-05,-1.2652581291238316e-05,0.00030869924287265445
2,2018-02-14 15:59:59,0.00032277789784493333,0.0003227778978449334,0.0003227778978449334,0.00029279693050108467,0.0003230631013769745,-4.065809070293043e-07,-4.065809070293043e-07,-4.065809070293043e-07,-2.5502499965716907e-06,-2.5502499965716907e-06,-2.5502499965716907e-06,-1.6277823071786718e-05,-1.6277823071786718e-05,-1.6277823071786718e-05,-1.6277823071786718e-05,-1.6277823071786718e-05,-1.6277823071786718e-05,-1.3320992168185722e-05,-1.3320992168185722e-05,-1.3320992168185722e-05,0.00030650007477314663
3,2018-02-14 16:59:53,0.00032262343175369764,0.00032262343175369764,0.00032262343175369764,0.0002900311091847755,0.0003215874921902201,4.620959918001793e-06,4.620959918001793e-06,4.620959918001793e-06,-6.915640169371444e-06,-6.915640169371444e-06,-6.915640169371444e-06,-1.6246417747344126e-05,-1.6246417747344126e-05,-1.6246417747344126e-05,-1.6246417747344126e-05,-1.6246417747344126e-05,-1.6246417747344126e-05,-1.3951737495974472e-05,-1.3951737495974472e-05,-1.3951737495974472e-05,0.0003063770140063535
4,2018-02-14 17:59:59,0.0003224684499159137,0.0003224684499159137,0.0003224684499159137,0.00029096102132531186,0.0003241331122999231,7.6766535700908e-06,7.6766535700908e-06,7.6766535700908e-06,-8.366151593591256e-06,-8.366151593591256e-06,-8.366151593591256e-06,-1.524045537405789e-05,-1.524045537405789e-05,-1.524045537405789e-05,-1.524045537405789e-05,-1.524045537405789e-05,-1.524045537405789e-05,-1.4550957350557437e-05,-1.4550957350557437e-05,-1.4550957350557437e-05,0.0003072279945418558
5,2018-02-14 18:59:45,0.00032231432765571027,0.00032231432765571027,0.00032231432765571027,0.00029167022702393237,0.0003227783641698354,6.5542012805987916e-06,6.5542012805987916e-06,6.5542012805987916e-06,-6.2742569873489625e-06,-6.2742569873489625e-06,-6.2742569873489625e-06,-1.4832866866547917e-05,-1.4832866866547917e-05,-1.4832866866547917e-05,-1.4832866866547917e-05,-1.4832866866547917e-05,-1.4832866866547917e-05,-1.511281115979775e-05,-1.511281115979775e-05,-1.511281115979775e-05,0.0003074814607891623
6,2018-02-14 19:59:36,0.00032215999050111166,0.00032215999050111166,0.00032215999050111166,0.0002916870772877476,0.0003227957221022948,3.357305993122725e-06,3.357305993122725e-06,3.357305993122725e-06,-3.3078814584798166e-06,-3.3078814584798166e-06,-3.3078814584798166e-06,-1.5591626495000077e-05,-1.5591626495000077e-05,-1.5591626495000077e-05,-1.5591626495000077e-05,-1.5591626495000077e-05,-1.5591626495000077e-05,-1.5641051029642983e-05,-1.5641051029642983e-05,-1.5641051029642983e-05,0.0003065683640061116
7,2018-02-14 20:59:37,0.0003220052235577228,0.0003220052235577228,0.0003220052235577228,0.0002890044415147311,0.0003220315912335636,1.7673870085052358e-06,1.7673870085052358e-06,1.7673870085052358e-06,-2.50810929781717e-06,-2.50810929781717e-06,-2.50810929781717e-06,-1.6876784175484736e-05,-1.6876784175484736e-05,-1.6876784175484736e-05,-1.6876784175484736e-05,-1.6876784175484736e-05,-1.6876784175484736e-05,-1.6136061886172798e-05,-1.6136061886172798e-05,-1.6136061886172798e-05,0.00030512843938223806
8,2018-02-14 21:59:28,0.00032185088640312423,0.00032185088640312423,0.00032185088640312423,0.0002869611207013493,0.00031999998314979173,3.2169496193120255e-06,3.2169496193120255e-06,3.2169496193120255e-06,-4.7451716068154314e-06,-4.7451716068154314e-06,-4.7451716068154314e-06,-1.812341162364652e-05,-1.812341162364652e-05,-1.812341162364652e-05,-1.812341162364652e-05,-1.812341162364652e-05,-1.812341162364652e-05,-1.6595189636143112e-05,-1.6595189636143112e-05,-1.6595189636143112e-05,0.0003037274747794777
9,2018-02-14 22:59:49,0.00032169525988215474,0.00032169525988215474,0.00032169525988215474,0.00028687546573579717,0.00031645925585982145,5.944145233853406e-06,5.944145233853406e-06,5.944145233853406e-06,-8.470789252635856e-06,-8.470789252635856e-06,-8.470789252635856e-06,-1.9550215804929144e-05,-1.9550215804929144e-05,-1.9550215804929144e-05,-1.9550215804929144e-05,-1.9550215804929144e-05,-1.9550215804929144e-05,-1.7023571786146696e-05,-1.7023571786146696e-05,-1.7023571786146696e-05,0.00030214504407722557
