,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-03-31 04:59:59,711822.145213034,711822.145213034,711822.145213034,703629.703985377,725159.2807199172,2576.0024868527144,2576.0024868527144,2576.0024868527144,2576.0024868527144,2576.0024868527144,2576.0024868527144,2576.0024868527144,2576.0024868527144,2576.0024868527144,714398.1476998867
1,2018-03-31 05:59:59,710484.9796475112,710484.9796475112,710484.9796475112,700390.2231931629,722834.4009529081,856.6933782067067,856.6933782067067,856.6933782067067,856.6933782067067,856.6933782067067,856.6933782067067,856.6933782067067,856.6933782067067,856.6933782067067,711341.6730257178
2,2018-03-31 06:59:58,709148.1855168674,709148.1855168674,709148.1855168674,698260.6333458651,719796.4266126062,-120.38191542838288,-120.38191542838288,-120.38191542838288,-120.38191542838288,-120.38191542838288,-120.38191542838288,-120.38191542838288,-120.38191542838288,-120.38191542838288,709027.8036014391
3,2018-03-31 07:59:59,707810.6485164652,707810.6485164652,707810.6485164652,696349.2934466167,718453.1773869699,-854.3770676367338,-854.3770676367338,-854.3770676367338,-854.3770676367338,-854.3770676367338,-854.3770676367338,-854.3770676367338,-854.3770676367338,-854.3770676367338,706956.2714488285
4,2018-03-31 08:59:59,706473.4829509422,706473.4829509422,706473.4829509422,693668.0303241386,715145.3027049785,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,-1996.8876025063914,704476.5953484358
5,2018-03-31 09:59:58,705136.6888202986,705136.6888202986,705136.6888202986,690561.8055436851,712129.4843835993,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,-3537.8586612314743,701598.8301590672
6,2018-03-31 10:59:58,703799.5232547757,703799.5232547757,703799.5232547757,688555.8826685244,710639.5883767353,-4669.295885632429,-4669.295885632429,-4669.295885632429,-4669.295885632429,-4669.295885632429,-4669.295885632429,-4669.295885632429,-4669.295885632429,-4669.295885632429,699130.2273691433
7,2018-03-31 11:59:59,702461.9862543734,702461.9862543734,702461.9862543734,686457.1599392478,708778.1616795727,-4513.54853920841,-4513.54853920841,-4513.54853920841,-4513.54853920841,-4513.54853920841,-4513.54853920841,-4513.54853920841,-4513.54853920841,-4513.54853920841,697948.4377151651
8,2018-03-31 12:59:59,701124.8206814114,701124.8206814114,701124.8206814114,687458.5776022527,709198.2978004189,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,-3044.0475493870376,698080.7731320243
9,2018-03-31 13:59:58,699788.0265433309,699788.0265433309,699788.0265433309,688209.6469479837,709922.0890404452,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,-1281.1854579324208,698506.8410853985
