Time,avg
2018-03-31 04:59:59,688166.33333333333333333333333
2018-03-31 05:59:59,695738.33333333333333333333333
2018-03-31 06:59:58,705609.000000000
2018-03-31 07:59:59,707320.66666666666666666666667
2018-03-31 08:59:59,714279.66666666666666666666667
2018-03-31 09:59:58,707466.66666666666666666666667
2018-03-31 10:59:58,704339.000000000
2018-03-31 11:59:59,705464.66666666666666666666667
2018-03-31 12:59:59,712233.33333333333333333333333
2018-03-31 13:59:58,711377.000000000
2018-03-31 14:59:59,705866.66666666666666666666667
2018-03-31 15:59:55,703404.33333333333333333333333
2018-03-31 16:59:59,694460.000000000
2018-03-31 17:59:59,690658.66666666666666666666667
2018-03-31 18:59:57,695060.33333333333333333333333
2018-03-31 19:59:57,693442.66666666666666666666667
2018-03-31 20:59:59,697770.33333333333333333333333
2018-03-31 21:59:59,700608.33333333333333333333333
2018-03-31 22:59:57,694359.66666666666666666666667
2018-03-31 23:59:58,692241.33333333333333333333333
2018-04-01 00:59:58,693656.33333333333333333333333
2018-04-01 01:59:59,692733.000000000
2018-04-01 02:59:59,685315.66666666666666666666667
2018-04-01 03:59:59,673962.33333333333333333333333
2018-04-01 04:59:59,671252.000000000
2018-04-01 05:59:59,672094.33333333333333333333333
2018-04-01 06:59:46,671135.000000000
2018-04-01 07:59:55,668047.33333333333333333333333
2018-04-01 08:59:59,669166.000000000
2018-04-01 09:59:59,658495.66666666666666666666667
2018-04-01 10:59:59,649132.33333333333333333333333
2018-04-01 11:59:59,647733.33333333333333333333333
2018-04-01 12:59:59,669512.000000000
2018-04-01 13:59:59,681399.66666666666666666666667
2018-04-01 14:59:59,680582.33333333333333333333333
2018-04-01 15:59:59,688462.33333333333333333333333
2018-04-01 16:59:58,689258.66666666666666666666667
2018-04-01 17:59:59,684033.33333333333333333333333
2018-04-01 18:59:54,679831.66666666666666666666667
2018-04-01 19:59:59,680235.33333333333333333333333
2018-04-01 20:59:59,692212.000000000
2018-04-01 21:59:56,693697.33333333333333333333333
2018-04-01 22:59:59,694866.66666666666666666666667
2018-04-01 23:59:59,697695.33333333333333333333333
2018-04-02 00:59:59,691940.66666666666666666666667
2018-04-02 01:59:59,688279.000000000
2018-04-02 02:59:59,690529.33333333333333333333333
2018-04-02 03:59:59,700827.000000000
2018-04-02 04:59:59,706034.66666666666666666666667
2018-04-02 05:59:59,705916.33333333333333333333333
2018-04-02 06:59:57,705259.000000000
2018-04-02 07:59:57,706900.33333333333333333333333
2018-04-02 08:59:57,700422.000000000
2018-04-02 09:59:59,701256.66666666666666666666667
2018-04-02 10:59:59,693210.66666666666666666666667
2018-04-02 11:59:59,699224.000000000
2018-04-02 12:59:59,701098.66666666666666666666667
2018-04-02 13:59:56,698097.33333333333333333333333
2018-04-02 14:59:58,698175.66666666666666666666667
2018-04-02 15:59:59,698823.66666666666666666666667
2018-04-02 16:59:58,694559.000000000
2018-04-02 17:59:59,696986.66666666666666666666667
2018-04-02 18:59:58,701636.000000000
2018-04-02 19:59:59,704193.33333333333333333333333
2018-04-02 20:59:59,704600.66666666666666666666667
2018-04-02 21:59:58,703348.66666666666666666666667
2018-04-02 22:59:59,712269.66666666666666666666667
2018-04-02 23:59:57,716432.66666666666666666666667
2018-04-03 00:59:59,730667.000000000
2018-04-03 01:59:58,732699.66666666666666666666667
2018-04-03 02:59:59,733333.33333333333333333333333
2018-04-03 03:59:56,738733.000000000
2018-04-03 04:59:59,736640.33333333333333333333333
2018-04-03 05:59:58,735374.33333333333333333333333
2018-04-03 06:59:59,731863.66666666666666666666667
2018-04-03 07:59:59,730650.000000000
2018-04-03 08:59:57,734338.000000000
2018-04-03 09:59:59,735943.66666666666666666666667
2018-04-03 10:59:58,733055.33333333333333333333333
2018-04-03 11:59:59,737573.66666666666666666666667
2018-04-03 12:59:59,739959.66666666666666666666667
2018-04-03 13:59:58,740703.66666666666666666666667
2018-04-03 14:59:59,745791.66666666666666666666667
2018-04-03 15:59:59,747970.33333333333333333333333
2018-04-03 16:59:58,742266.33333333333333333333333
2018-04-03 17:59:56,741066.66666666666666666666667
2018-04-03 18:59:59,738936.66666666666666666666667
2018-04-03 19:59:57,739933.33333333333333333333333
2018-04-03 20:59:59,740020.000000000
2018-04-03 21:59:59,734727.000000000
2018-04-03 22:59:56,727210.000000000
2018-04-03 23:59:57,729786.33333333333333333333333
2018-04-04 00:59:58,729247.000000000
2018-04-04 02:59:59,735021.66666666666666666666667
2018-04-04 03:59:58,732875.66666666666666666666667
2018-04-04 04:59:59,730200.33333333333333333333333
2018-04-04 05:59:59,714556.33333333333333333333333
2018-04-04 06:59:59,708464.66666666666666666666667
2018-04-04 07:59:59,704900.000000000
2018-04-04 08:59:59,704233.000000000
2018-04-04 09:59:59,708032.66666666666666666666667
2018-04-04 10:59:59,692683.33333333333333333333333
2018-04-04 11:59:59,682004.66666666666666666666667
2018-04-04 12:59:59,686433.000000000
2018-04-04 13:59:50,684707.66666666666666666666667
2018-04-04 14:59:59,681234.66666666666666666666667
2018-04-04 15:59:58,683374.33333333333333333333333
2018-04-04 16:59:59,685015.66666666666666666666667
2018-04-04 17:59:59,681058.33333333333333333333333
2018-04-04 18:59:59,676647.33333333333333333333333
2018-04-04 19:59:59,677770.000000000
2018-04-04 20:59:58,673691.000000000
2018-04-04 21:59:59,663155.000000000
2018-04-04 22:59:58,662156.000000000
2018-04-04 23:59:59,672466.000000000
2018-04-05 00:59:59,679819.000000000
2018-04-05 01:59:59,683218.66666666666666666666667
2018-04-05 02:59:59,677796.33333333333333333333333
2018-04-05 03:59:59,677950.66666666666666666666667
2018-04-05 04:59:59,684300.000000000
2018-04-05 05:59:58,684702.33333333333333333333333
2018-04-05 06:59:59,679178.66666666666666666666667
2018-04-05 07:59:59,678233.000000000
2018-04-05 08:59:58,668169.66666666666666666666667
2018-04-05 09:59:59,676391.66666666666666666666667
2018-04-05 10:59:59,679421.33333333333333333333333
2018-04-05 11:59:57,673531.000000000
2018-04-05 12:59:58,671333.33333333333333333333333
2018-04-05 13:59:59,671900.000000000
2018-04-05 14:59:59,670999.000000000
2018-04-05 15:59:59,675365.33333333333333333333333
2018-04-05 16:59:59,675317.66666666666666666666667
2018-04-05 17:59:58,671633.000000000
2018-04-05 18:59:58,678826.66666666666666666666667
2018-04-05 19:59:57,678692.000000000
2018-04-05 20:59:59,680668.33333333333333333333333
2018-04-05 21:59:55,679637.33333333333333333333333
2018-04-05 22:59:59,677165.000000000
2018-04-05 23:59:59,675407.33333333333333333333333
2018-04-06 00:59:59,678400.66666666666666666666667
2018-04-06 01:59:58,678436.33333333333333333333333
2018-04-06 02:59:59,662623.000000000
2018-04-06 03:59:58,661241.66666666666666666666667
2018-04-06 04:59:57,659282.33333333333333333333333
2018-04-06 05:59:59,657221.66666666666666666666667
2018-04-06 06:59:59,653028.66666666666666666666667
2018-04-06 07:59:58,658595.33333333333333333333333
2018-04-06 08:59:59,658606.000000000
2018-04-06 09:59:58,660032.33333333333333333333333
2018-04-06 10:59:59,660033.66666666666666666666667
2018-04-06 11:59:57,657800.33333333333333333333333
2018-04-06 12:59:58,660007.33333333333333333333333
2018-04-06 13:59:59,660386.66666666666666666666667
2018-04-06 14:59:58,659903.33333333333333333333333
2018-04-06 15:59:57,660240.66666666666666666666667
2018-04-06 16:59:55,659481.66666666666666666666667
2018-04-06 17:59:58,659982.66666666666666666666667
2018-04-06 18:59:59,655340.000000000
2018-04-06 19:59:59,657602.000000000
2018-04-06 20:59:59,661504.33333333333333333333333
2018-04-06 21:59:59,677796.66666666666666666666667
2018-04-06 22:59:59,680620.33333333333333333333333
2018-04-06 23:59:59,684934.000000000
2018-04-07 00:59:55,684483.66666666666666666666667
2018-04-07 01:59:58,684860.66666666666666666666667
2018-04-07 02:59:59,686276.33333333333333333333333
2018-04-07 03:59:59,686204.66666666666666666666667
2018-04-07 04:59:58,689198.66666666666666666666667
2018-04-07 05:59:57,685288.000000000
2018-04-07 06:59:58,685866.66666666666666666666667
2018-04-07 07:59:59,685765.33333333333333333333333
2018-04-07 08:59:59,687601.33333333333333333333333
2018-04-07 09:59:59,682933.33333333333333333333333
2018-04-07 10:59:58,685211.33333333333333333333333
2018-04-07 11:59:59,696468.33333333333333333333333
2018-04-07 12:59:58,703003.66666666666666666666667
2018-04-07 13:59:59,700748.000000000
2018-04-07 14:59:59,698492.000000000
2018-04-07 15:59:59,698029.66666666666666666666667
2018-04-07 16:59:59,700018.66666666666666666666667
2018-04-07 17:59:59,697800.000000000
2018-04-07 18:59:56,692799.66666666666666666666667
2018-04-07 19:59:58,689468.000000000
2018-04-07 20:59:58,693904.66666666666666666666667
2018-04-07 21:59:59,693449.66666666666666666666667
2018-04-07 22:59:57,693804.000000000
2018-04-07 23:59:58,695166.33333333333333333333333
2018-04-08 00:59:55,697504.66666666666666666666667
2018-04-08 02:59:59,692692.66666666666666666666667
2018-04-08 03:59:53,693900.33333333333333333333333
2018-04-08 04:59:58,695475.66666666666666666666667
2018-04-08 05:59:59,699336.66666666666666666666667
2018-04-08 06:59:56,700127.66666666666666666666667
2018-04-08 07:59:59,705862.33333333333333333333333
2018-04-08 08:59:59,708470.000000000
2018-04-08 09:59:55,706433.33333333333333333333333
2018-04-08 10:59:59,704033.000000000
2018-04-08 11:59:58,704800.66666666666666666666667
2018-04-08 12:59:59,700156.000000000
2018-04-08 13:59:58,698358.66666666666666666666667
2018-04-08 14:59:59,698895.000000000
2018-04-08 15:59:55,699167.33333333333333333333333
2018-04-08 16:59:58,696356.000000000
2018-04-08 17:59:59,697628.000000000
2018-04-08 18:59:59,702336.66666666666666666666667
2018-04-08 19:59:59,701333.33333333333333333333333
2018-04-08 20:59:55,705639.66666666666666666666667
2018-04-08 21:59:59,710535.33333333333333333333333
2018-04-08 22:59:58,712347.000000000
2018-04-08 23:59:56,710694.66666666666666666666667
2018-04-09 00:59:58,713120.33333333333333333333333
2018-04-09 01:59:58,712064.000000000
2018-04-09 02:59:57,711200.000000000
2018-04-09 03:59:50,712733.33333333333333333333333
2018-04-09 04:59:59,715431.000000000
2018-04-09 05:59:59,711100.000000000
2018-04-09 06:59:59,687693.66666666666666666666667
2018-04-09 07:59:59,674522.66666666666666666666667
2018-04-09 08:59:59,673616.66666666666666666666667
2018-04-09 09:59:59,673629.33333333333333333333333
2018-04-09 10:59:59,671673.66666666666666666666667
2018-04-09 11:59:59,674633.000000000
2018-04-09 12:59:58,674496.000000000
2018-04-09 13:59:54,674118.66666666666666666666667
2018-04-09 14:59:59,674933.33333333333333333333333
2018-04-09 15:59:59,669336.33333333333333333333333
2018-04-09 16:59:55,665596.000000000
2018-04-09 17:59:57,671212.66666666666666666666667
2018-04-09 18:59:58,669990.000000000
2018-04-09 19:30:13,671495.33333333333333333333333
