,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yhat
0,2018-02-15 12:59:59,0.00033612508700572646,0.00033612508700572646,0.00033612508700572646,0.000299761284619912,0.000330225115762831,1.8595890868785125e-06,1.8595890868785125e-06,1.8595890868785125e-06,-4.043592332442779e-06,-4.043592332442779e-06,-4.043592332442779e-06,-2.1376939585199853e-05,-2.1376939585199853e-05,-2.1376939585199853e-05,-2.1376939585199853e-05,-2.1376939585199853e-05,-2.1376939585199853e-05,-1.9192936339635586e-05,-1.9192936339635586e-05,-1.9192936339635586e-05,0.00031474814742052664
1,2018-02-15 13:59:57,0.00033549419584306587,0.00033549419584306587,0.00033549419584306587,0.0002993939402008322,0.0003289455569586795,4.0690870088913345e-06,4.0690870088913345e-06,4.0690870088913345e-06,-5.8389794122487115e-06,-5.8389794122487115e-06,-5.8389794122487115e-06,-2.1156489273480945e-05,-2.1156489273480945e-05,-2.1156489273480945e-05,-2.1156489273480945e-05,-2.1156489273480945e-05,-2.1156489273480945e-05,-1.9386596870123568e-05,-1.9386596870123568e-05,-1.9386596870123568e-05,0.00031433770656958494
2,2018-02-15 14:59:51,0.00033486400606024154,0.00033486400606024154,0.00033486400606024154,0.00029941961185652377,0.00032862215092024726,4.521189971437498e-06,4.521189971437498e-06,4.521189971437498e-06,-5.950859190657103e-06,-5.950859190657103e-06,-5.950859190657103e-06,-2.09695818230639e-05,-2.09695818230639e-05,-2.09695818230639e-05,-2.09695818230639e-05,-2.09695818230639e-05,-2.09695818230639e-05,-1.9539912603844294e-05,-1.9539912603844294e-05,-1.9539912603844294e-05,0.0003138944242371776
3,2018-02-15 15:59:59,0.00033423136144799045,0.0003342313614479905,0.0003342313614479905,0.0002987374394458988,0.00032845050953767734,3.5385363932160238e-06,3.5385363932160238e-06,3.5385363932160238e-06,-4.520532975177551e-06,-4.520532975177551e-06,-4.520532975177551e-06,-2.0635184592055334e-05,-2.0635184592055334e-05,-2.0635184592055334e-05,-2.0635184592055334e-05,-2.0635184592055334e-05,-2.0635184592055334e-05,-1.9653188010093808e-05,-1.9653188010093808e-05,-1.9653188010093808e-05,0.00031359617685593514
4,2018-02-15 16:59:55,0.00033360082097524805,0.00033360082097524805,0.00033360082097524805,0.0002983682265679499,0.00032785386256119984,2.157957503979909e-06,2.157957503979909e-06,2.157957503979909e-06,-2.8168701545193854e-06,-2.8168701545193854e-06,-2.8168701545193854e-06,-2.038431670793579e-05,-2.038431670793579e-05,-2.038431670793579e-05,-2.038431670793579e-05,-2.038431670793579e-05,-2.038431670793579e-05,-1.972540405739631e-05,-1.972540405739631e-05,-1.972540405739631e-05,0.00031321650426731226
5,2018-02-15 17:59:50,0.0003329704558474646,0.0003329704558474646,0.0003329704558474646,0.0002983062905686806,0.0003263460456109593,1.223486055153002e-06,1.223486055153002e-06,1.223486055153002e-06,-1.602943938960128e-06,-1.602943938960128e-06,-1.602943938960128e-06,-2.013641409498555e-05,-2.013641409498555e-05,-2.013641409498555e-05,-2.013641409498555e-05,-2.013641409498555e-05,-2.013641409498555e-05,-1.9756956211178423e-05,-1.9756956211178423e-05,-1.9756956211178423e-05,0.0003128340417524791
6,2018-02-15 18:59:58,0.00033233781123521354,0.00033233781123521354,0.00033233781123521354,0.0002979354366768978,0.00032709429505820985,5.640800435395503e-07,5.640800435395503e-07,5.640800435395503e-07,-5.941262203634921e-07,-5.941262203634921e-07,-5.941262203634921e-07,-1.977788388280801e-05,-1.977788388280801e-05,-1.977788388280801e-05,-1.977788388280801e-05,-1.977788388280801e-05,-1.977788388280801e-05,-1.974783770598407e-05,-1.974783770598407e-05,-1.974783770598407e-05,0.00031255992735240555
7,2018-02-15 19:59:53,0.0003317074461074301,0.0003317074461074301,0.0003317074461074301,0.0002974717219721398,0.000326375267336293,-4.6226732086472767e-07,-4.6226732086472767e-07,-4.6226732086472767e-07,5.523226573102389e-07,5.523226573102389e-07,5.523226573102389e-07,-1.9608248816262325e-05,-1.9608248816262325e-05,-1.9608248816262325e-05,-1.9608248816262325e-05,-1.9608248816262325e-05,-1.9608248816262325e-05,-1.9698304152707838e-05,-1.9698304152707838e-05,-1.9698304152707838e-05,0.0003120991972911678
8,2018-02-15 20:58:54,0.00033108654960743543,0.00033108654960743543,0.00033108654960743543,0.0002960414374542734,0.00032555598531336025,-1.6172179282328574e-06,-1.6172179282328574e-06,-1.6172179282328574e-06,1.1775713720123852e-06,1.1775713720123852e-06,1.1775713720123852e-06,-2.0049984289541102e-05,-2.0049984289541102e-05,-2.0049984289541102e-05,-2.0049984289541102e-05,-2.0049984289541102e-05,-2.0049984289541102e-05,-1.961033773332063e-05,-1.961033773332063e-05,-1.961033773332063e-05,0.0003110365653178943
9,2018-02-15 21:59:56,0.00033044443636739566,0.0003304444363673957,0.0003304444363673957,0.0002958707600604858,0.00032555383902744487,-1.7413246119433747e-06,-1.7413246119433747e-06,-1.7413246119433747e-06,5.692045789451392e-07,5.692045789451392e-07,5.692045789451392e-07,-2.06510067009419e-05,-2.06510067009419e-05,-2.06510067009419e-05,-2.06510067009419e-05,-2.06510067009419e-05,-2.06510067009419e-05,-1.9478886667943662e-05,-1.9478886667943662e-05,-1.9478886667943662e-05,0.0003097934296664538
