,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yhat
0,2018-02-15 07:59:58,0.00033576897667235645,0.00033576897667235645,0.00033576897667235645,0.0003064751082242897,0.0003363950354951168,-7.059187360662953e-07,-7.059187360662953e-07,-7.059187360662953e-07,4.327149230937965e-06,4.327149230937965e-06,4.327149230937965e-06,-1.4545762792441274e-05,-1.4545762792441274e-05,-1.4545762792441274e-05,-1.4545762792441274e-05,-1.4545762792441274e-05,-1.4545762792441274e-05,-1.8166993287312944e-05,-1.8166993287312944e-05,-1.8166993287312944e-05,0.0003212232138799152
1,2018-02-15 08:59:42,0.0003351841490601552,0.0003351841490601552,0.0003351841490601552,0.0003049017606740651,0.00033351793733853077,-4.068740915218558e-06,-4.068740915218558e-06,-4.068740915218558e-06,6.176430920238532e-06,6.176430920238532e-06,6.176430920238532e-06,-1.6421410789428126e-05,-1.6421410789428126e-05,-1.6421410789428126e-05,-1.6421410789428126e-05,-1.6421410789428126e-05,-1.6421410789428126e-05,-1.8529100794448097e-05,-1.8529100794448097e-05,-1.8529100794448097e-05,0.0003187627382707271
2,2018-02-15 09:59:53,0.0003345949156595808,0.0003345949156595808,0.0003345949156595808,0.000300999855774425,0.000329870894933619,-4.852878489724729e-06,-4.852878489724729e-06,-4.852878489724729e-06,4.763222854866365e-06,4.763222854866365e-06,4.763222854866365e-06,-1.894633927090753e-05,-1.894633927090753e-05,-1.894633927090753e-05,-1.894633927090753e-05,-1.894633927090753e-05,-1.894633927090753e-05,-1.8856683636049165e-05,-1.8856683636049165e-05,-1.8856683636049165e-05,0.00031564857638867325
3,2018-02-15 10:59:46,0.0003340086194512551,0.0003340086194512551,0.0003340086194512551,0.0002993980997191648,0.0003279908243349048,-2.8372032699700632e-06,-2.8372032699700632e-06,-2.8372032699700632e-06,1.3700306708583954e-06,1.3700306708583954e-06,1.3700306708583954e-06,-2.0611892852018647e-05,-2.0611892852018647e-05,-2.0611892852018647e-05,-2.0611892852018647e-05,-2.0611892852018647e-05,-2.0611892852018647e-05,-1.914472025290698e-05,-1.914472025290698e-05,-1.914472025290698e-05,0.00031339672659923647
4,2018-02-15 11:59:57,0.0003334193860506807,0.0003334193860506807,0.0003334193860506807,0.00029731448809638137,0.0003261483328216182,4.6506499042003936e-07,4.6506499042003936e-07,4.6506499042003936e-07,-2.6368889283664186e-06,-2.6368889283664186e-06,-2.6368889283664186e-06,-2.156724806280276e-05,-2.156724806280276e-05,-2.156724806280276e-05,-2.156724806280276e-05,-2.156724806280276e-05,-2.156724806280276e-05,-1.9395424124856376e-05,-1.9395424124856376e-05,-1.9395424124856376e-05,0.0003118521379878779
5,2018-02-15 12:59:59,0.0003328316212462307,0.0003328316212462307,0.0003328316212462307,0.00029782659079565963,0.00032607191733645754,3.247107134603211e-06,3.247107134603211e-06,3.247107134603211e-06,-5.2403708385615084e-06,-5.2403708385615084e-06,-5.2403708385615084e-06,-2.1599499539593567e-05,-2.1599499539593567e-05,-2.1599499539593567e-05,-2.1599499539593567e-05,-2.1599499539593567e-05,-2.1599499539593567e-05,-1.960623583563527e-05,-1.960623583563527e-05,-1.960623583563527e-05,0.0003112321217066371
6,2018-02-15 13:59:57,0.00033224450915116924,0.00033224450915116924,0.00033224450915116924,0.00029625021182532124,0.00032545651531473854,4.464438207768885e-06,4.464438207768885e-06,4.464438207768885e-06,-6.173859206675869e-06,-6.173859206675869e-06,-6.173859206675869e-06,-2.148667063466411e-05,-2.148667063466411e-05,-2.148667063466411e-05,-2.148667063466411e-05,-2.148667063466411e-05,-2.148667063466411e-05,-1.9777249635757125e-05,-1.9777249635757125e-05,-1.9777249635757125e-05,0.00031075783851650514
7,2018-02-15 14:59:51,0.0003316580497654965,0.0003316580497654965,0.0003316580497654965,0.00029654626627834905,0.00032426948274280994,3.9323071438027405e-06,3.9323071438027405e-06,3.9323071438027405e-06,-5.427151418883342e-06,-5.427151418883342e-06,-5.427151418883342e-06,-2.140315613062427e-05,-2.140315613062427e-05,-2.140315613062427e-05,-2.140315613062427e-05,-2.140315613062427e-05,-2.140315613062427e-05,-1.9908311855543667e-05,-1.9908311855543667e-05,-1.9908311855543667e-05,0.0003102548936348722
8,2018-02-15 15:59:59,0.0003310693058969635,0.0003310693058969635,0.0003310693058969635,0.0002958173811544908,0.0003248005376441743,2.117914127201445e-06,2.117914127201445e-06,2.117914127201445e-06,-3.1000094197946104e-06,-3.1000094197946104e-06,-3.1000094197946104e-06,-2.0981841013332087e-05,-2.0981841013332087e-05,-2.0981841013332087e-05,-2.0981841013332087e-05,-2.0981841013332087e-05,-2.0981841013332087e-05,-1.9999745720738923e-05,-1.9999745720738923e-05,-1.9999745720738923e-05,0.0003100874648836314
9,2018-02-15 16:59:55,0.0003304825201565964,0.0003304825201565964,0.0003304825201565964,0.00029547602812317363,0.00032441550708607077,-9.46951432626984e-08,-9.46951432626984e-08,-9.46951432626984e-08,-4.987912637944465e-07,-4.987912637944465e-07,-4.987912637944465e-07,-2.0644293952448517e-05,-2.0644293952448517e-05,-2.0644293952448517e-05,-2.0644293952448517e-05,-2.0644293952448517e-05,-2.0644293952448517e-05,-2.0050807545391373e-05,-2.0050807545391373e-05,-2.0050807545391373e-05,0.00030983822620414786
10,2018-02-15 17:59:50,0.0003298958975935765,0.0003298958975935765,0.0003298958975935765,0.00029413091490796555,0.00032484208914567776,-1.9130285364594454e-06,-1.9130285364594454e-06,-1.9130285364594454e-06,1.6584172482812935e-06,1.6584172482812935e-06,1.6584172482812935e-06,-2.0316540402884307e-05,-2.0316540402884307e-05,-2.0316540402884307e-05,-2.0316540402884307e-05,-2.0316540402884307e-05,-2.0316540402884307e-05,-2.0061929114706155e-05,-2.0061929114706155e-05,-2.0061929114706155e-05,0.00030957935719069216
11,2018-02-15 18:59:58,0.0003293071537250435,0.0003293071537250435,0.0003293071537250435,0.00029501055401591025,0.00032405489688524484,-3.0375151559561047e-06,-3.0375151559561047e-06,-3.0375151559561047e-06,3.2372663548330773e-06,3.2372663548330773e-06,3.2372663548330773e-06,-1.983336628950858e-05,-1.983336628950858e-05,-1.983336628950858e-05,-1.983336628950858e-05,-1.983336628950858e-05,-1.983336628950858e-05,-2.0033117488385556e-05,-2.0033117488385556e-05,-2.0033117488385556e-05,0.0003094737874355349
